"cep","geo","id_bairro","bairro","distrito","regional"
"88050440","-27.5063959, -48.5202213","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050450","-27.5086330, -48.5184401","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050452","-27.5079046, -48.5183477","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050460","-27.506320689135578, -48.52032465593801","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050470","-27.5076463, -48.5197929","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050480","-27.5047780, -48.5225429","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050482","-27.5047817, -48.5227472","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050490","-27.506320689135579, -48.52032465593802","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050500","-27.5050257, -48.5134658","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050501","-27.5050348, -48.5134495","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050510","-27.4872779, -48.5157350","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050511","-27.51193279949314, -48.51516528638565","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050513","-27.506320689135580, -48.52032465593803","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050515","-27.506320689135581, -48.52032465593804","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050517","-27.4925277, -48.5158158","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050522","-27.49861772022654, -48.51800132415182","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050536","-27.50485129169674, -48.51267419640893","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050540","-27.5048261, -48.5119243","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
